title,budget,runtime,original_language,release_date,revenue,genre
Ocean's Thirteen,85000000,122.0,en,2007-06-07,311312624,Crime
Open Season,85000000,83.0,en,2006-09-29,197309027,Adventure
Divergent,85000000,139.0,en,2014-03-14,288747895,Adventure
Enemy at the Gates,68000000,131.0,en,2001-03-13,96976270,
The Rundown,85000000,104.0,en,2003-09-26,80916492,Adventure
Last Action Hero,85000000,130.0,en,1993-06-18,137298489,Adventure
Memoirs of a Geisha,85000000,145.0,en,2005-12-06,162242962,Drama
The Fast and the Furious: Tokyo Drift,85000000,104.0,en,2006-06-03,158468292,Action
Arthur Christmas,0,97.0,en,2011-02-22,0,Drama
Meet Joe Black,90000000,178.0,en,1998-11-12,142940100,Fantasy
Collateral Damage,85000000,108.0,en,2002-02-06,78382433,Action
All That Jazz,0,123.0,en,1979-12-20,37823676,Drama
Mirror Mirror,85000000,106.0,en,2012-03-15,183018522,Adventure
Scott Pilgrim vs. the World,60000000,112.0,en,2010-07-27,47664559,Action
The Core,60000000,136.0,en,2003-03-28,74208267,Action
Nutty Professor II: The Klumps,84000000,106.0,en,2000-07-27,123307945,Fantasy
Scooby-Doo,84000000,88.0,en,2002-06-14,275650703,
Dredd,50000000,95.0,en,2012-09-07,41037742,Action
Click,82500000,107.0,en,2006-06-22,237681299,Comedy
Creepshow,8000000,120.0,en,1982-11-12,21028755,Horror
Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,82.0,en,2010-07-30,112483764,Comedy
Jumper,85000000,88.0,en,2008-02-10,222231186,Adventure
Hellboy II: The Golden Army,85000000,120.0,en,2008-07-11,160388063,Adventure
Zodiac,65000000,157.0,en,2007-03-02,84785914,Crime
The 6th Day,82000000,123.0,en,2000-11-17,96085477,Science Fiction
Bruce Almighty,80000000,101.0,en,2003-05-23,484572835,Fantasy
The Expendables,80000000,103.0,en,2010-08-03,274470394,Thriller
Mission: Impossible,80000000,110.0,en,1996-05-22,457696359,Adventure
The Hunger Games,75000000,142.0,en,2012-03-12,691210692,Science Fiction
The Hangover Part II,80000000,102.0,en,2011-05-25,254455986,Comedy
Batman Returns,80000000,126.0,en,1992-06-19,280000000,Action
Over the Hedge,80000000,83.0,en,2006-04-22,343397247,Comedy
Lilo & Stitch,80000000,85.0,en,2002-06-21,145771527,Animation
Charlotte's Web,85000000,97.0,en,2006-12-15,144000000,Comedy
Deep Impact,75000000,120.0,en,1998-05-08,140464664,Action
RED 2,84000000,116.0,en,2013-07-18,0,Action
The Longest Yard,82000000,113.0,en,2005-05-19,190320568,Comedy
Alvin and the Chipmunks: Chipwrecked,75000000,87.0,en,2011-12-14,342695435,Comedy
Grown Ups 2,80000000,100.0,en,2013-07-11,246984278,Comedy
Get Smart,80000000,110.0,en,2008-06-19,230685453,Action
Something's Gotta Give,80000000,128.0,en,2003-12-12,266728738,Drama
Shutter Island,80000000,138.0,en,2010-02-18,294804195,Drama
Four Christmases,80000000,88.0,en,2008-11-26,163733697,Comedy
Robots,75000000,91.0,en,2005-03-10,260696994,Animation
Face/Off,80000000,138.0,en,1997-06-27,245676146,Action
Bedtime Stories,80000000,99.0,en,2008-12-24,212874442,Fantasy
Road to Perdition,80000000,117.0,en,2002-07-12,181001478,Thriller
Just Go with It,80000000,117.0,en,2011-02-10,214918407,Romance
Con Air,75000000,115.0,en,1997-06-01,224012234,Action
Eagle Eye,80000000,118.0,en,2008-09-25,178066569,
Cold Mountain,79000000,154.0,en,2003-12-24,173013509,Drama
The Book of Eli,80000000,118.0,en,2010-01-14,157107755,Action
Flubber,80000000,93.0,en,1997-11-26,177977226,Comedy
The Haunting,80000000,113.0,en,1999-07-23,91188905,Horror
Space Jam,80000000,88.0,en,1996-11-15,250200000,Animation
The Pink Panther,0,93.0,en,2006-01-18,0,Action
The Day the Earth Stood Still,80000000,104.0,en,2008-12-10,233093859,Drama
Conspiracy Theory,75000000,135.0,en,1997-08-07,136982834,Action
Fury,68000000,135.0,en,2014-10-15,211817906,
Six Days Seven Nights,70000000,98.0,en,1998-06-12,164000000,Action
Yogi Bear,80000000,80.0,en,2010-12-11,201584141,Comedy
Spirit: Stallion of the Cimarron,80000000,83.0,en,2002-05-24,122563539,
Zookeeper,80000000,102.0,en,2011-07-06,169852759,Comedy
Lost in Space,80000000,130.0,en,1998-04-03,136159423,Adventure
The Manchurian Candidate,80000000,129.0,en,2004-07-30,96105964,Drama
Déjà Vu,0,117.0,en,1998-04-22,0,Romance
Hotel Transylvania 2,80000000,89.0,en,2015-09-21,473226958,Animation
Fantasia 2000,80000000,74.0,en,1999-12-17,90874570,Animation
The Time Machine,80000000,96.0,en,2002-03-04,123729176,Science Fiction
Mighty Joe Young,90000000,114.0,en,1998-12-25,0,Action
Swordfish,102000000,99.0,en,2001-06-07,147080413,Action
The Legend of Zorro,75000000,129.0,en,2005-10-24,142400065,Action
What Dreams May Come,85000000,113.0,en,1998-10-02,71485043,Drama
Little Nicky,85000000,90.0,en,2000-11-10,0,Comedy
The Brothers Grimm,88000000,118.0,en,2005-08-26,105316267,Adventure
Mars Attacks!,70000000,106.0,en,1996-12-12,101371017,Comedy
Evolution,0,81.0,fr,2015-09-14,0,
The Edge,0,117.0,en,1997-09-06,43312294,Action
Surrogates,80000000,89.0,en,2009-09-24,122444772,Action
Thirteen Days,80000000,145.0,en,2000-12-24,34566746,Drama
Daylight,80000000,115.0,en,1996-12-06,159212469,Action
Walking With Dinosaurs,80000000,87.0,en,2013-12-18,126546518,Animation
Battlefield Earth,44000000,118.0,en,2000-05-10,21400000,Action
Looney Tunes: Back in Action,80000000,90.0,en,2003-11-14,68514844,Animation
Nine,80000000,112.0,en,2009-12-03,53825515,Drama
Timeline,80000000,116.0,en,2003-11-26,19480739,Action
The Postman,80000000,177.0,en,1997-12-25,17626234,Drama
Babe: Pig in the City,90000000,92.0,en,1998-11-25,69131860,Adventure
The Last Witch Hunter,90000000,106.0,en,2015-10-21,146936910,Fantasy
Red Planet,80000000,106.0,en,2000-11-10,33463969,Thriller
Arthur and the Invisibles,86000000,94.0,en,2006-12-13,107944236,Adventure
Oceans,0,84.0,en,2009-10-17,19406406,
A Sound of Thunder,80000000,110.0,en,2005-05-15,5989640,Thriller
Pompeii,130000000,105.0,en,2014-02-18,117831631,Action
Top Cat Begins,8000000,89.0,es,2015-10-30,0,Comedy
A Beautiful Mind,60000000,135.0,en,2001-12-11,313542341,Drama
The Lion King,45000000,89.0,en,1994-06-23,788241776,
Journey 2: The Mysterious Island,79000000,94.0,en,2012-01-19,355692760,Adventure
Cloudy with a Chance of Meatballs 2,78000000,95.0,en,2013-09-26,248384621,Animation
Red Dragon,78000000,124.0,en,2002-09-29,209196298,Crime
Hidalgo,100000000,136.0,en,2004-03-05,108103450,
Jack and Jill,79000000,91.0,en,2011-11-11,149673788,Comedy
2 Fast 2 Furious,76000000,107.0,en,2003-06-05,236350661,Action
The Little Prince,64000000,92.0,en,2015-07-29,97571250,Adventure
The Invasion,80000000,99.0,en,2007-08-17,15071514,Science Fiction
The Adventures of Rocky & Bullwinkle,76000000,88.0,en,2000-06-30,35134820,Action
The Secret Life of Pets,75000000,87.0,en,2016-06-18,875958308,Animation
The League of Extraordinary Gentlemen,78000000,110.0,en,2003-07-11,179265204,Fantasy
Despicable Me 2,76000000,98.0,en,2013-06-25,970761885,Animation
Independence Day,75000000,145.0,en,1996-06-25,816969268,Action
The Lost World: Jurassic Park,73000000,129.0,en,1997-05-23,229074524,Adventure
Madagascar,75000000,86.0,en,2005-05-25,532680671,
Children of Men,76000000,109.0,en,2006-09-22,69959751,Drama
X-Men,75000000,104.0,en,2000-07-13,296339527,Adventure
Wanted,75000000,110.0,en,2008-06-19,258270008,Action
The Rock,75000000,136.0,en,1996-06-06,335062621,Action
Ice Age: The Meltdown,80000000,91.0,en,2006-03-23,660940780,Animation
50 First Dates,75000000,99.0,en,2004-02-13,196482882,Comedy
Hairspray,50000000,117.0,en,2007-07-13,90450008,
Exorcist: The Beginning,80000000,114.0,en,2004-08-20,78000586,Horror
Inspector Gadget,75000000,78.0,en,1999-07-23,0,Action
Now You See Me,75000000,115.0,en,2013-05-29,117698894,Thriller
Grown Ups,80000000,102.0,en,2010-06-24,271430189,Comedy
The Terminal,60000000,128.0,en,2004-06-17,219417255,Comedy
Hotel for Dogs,35000000,100.0,en,2009-01-16,73034460,Comedy
Vertical Limit,75000000,124.0,en,2000-12-08,215663859,Action
Charlie Wilson's War,75000000,102.0,en,2007-12-19,119000410,Comedy
Shark Tale,75000000,90.0,en,2004-09-20,367275019,Animation
Dreamgirls,70000000,134.0,en,2006-12-25,154937680,Drama
Be Cool,53000000,118.0,en,2005-03-04,95226116,Comedy
Munich,70000000,164.0,en,2005-12-22,130358911,Drama
Tears of the Sun,70000000,121.0,en,2003-03-07,85632458,Action
Killers,75000000,100.0,en,2010-06-04,98159963,Action
The Man from U.N.C.L.E.,75000000,116.0,en,2015-08-13,108145109,Comedy
Spanglish,80000000,130.0,en,2004-12-17,55041367,Comedy
Monster House,75000000,91.0,en,2006-07-21,140175006,Animation
Bandits,75000000,123.0,en,2001-10-12,67631903,Action
First Knight,55000000,134.0,en,1995-07-07,127600435,Action
Anna and the King,75000000,148.0,en,1999-12-16,0,Drama
Immortals,75000000,110.0,en,2011-11-10,226904017,Fantasy
Hostage,52000000,113.0,en,2005-03-09,77944725,
Titan A.E.,75000000,94.0,en,2000-06-16,36754634,Animation
Hollywood Homicide,75000000,116.0,en,2003-06-09,51142659,Action
Soldier,75000000,99.0,en,1998-10-23,14567883,Action
Carriers,0,84.0,en,2009-09-04,5802422,Action
Monkeybone,75000000,93.0,en,2001-02-23,5409517,Adventure
Flight of the Phoenix,45000000,113.0,en,2004-12-17,21009180,Action
Unbreakable,75000000,106.0,en,2000-11-13,248118121,Science Fiction
Minions,74000000,91.0,en,2015-06-17,1156730962,
Sucker Punch,82000000,110.0,en,2011-03-24,89792502,Action
Snake Eyes,73000000,98.0,en,1998-08-07,103891409,Crime
Sphere,75000000,134.0,en,1998-02-13,13100000,Science Fiction
The Angry Birds Movie,73000000,97.0,en,2016-05-11,349779543,
Fool's Gold,70000000,112.0,en,2008-02-07,111231041,Romance
Funny People,75000000,146.0,en,2009-07-31,61458982,Comedy
The Kingdom,70000000,110.0,en,2007-08-22,86658558,Thriller
Talladega Nights: The Ballad of Ricky Bobby,72500000,116.0,en,2006-08-04,162966177,Comedy
Dr. Dolittle 2,70000000,87.0,en,2001-06-22,176104344,Comedy
Braveheart,72000000,177.0,en,1995-05-24,210000000,Action
Jarhead,72000000,125.0,en,2005-11-04,96889998,Drama
The Simpsons Movie,75000000,87.0,en,2007-07-25,527068851,Animation
The Majestic,72000000,152.0,en,2001-12-21,37317558,Drama
Driven,94000000,116.0,en,2001-04-27,54744738,Action
Two Brothers,74500000,109.0,en,2004-04-07,62172050,Adventure
The Village,60000000,108.0,en,2004-07-30,256697520,Drama
Doctor Dolittle,71000000,85.0,en,1998-06-22,294456605,Comedy
Signs,72000000,106.0,en,2002-08-02,408247917,Drama
Shrek 2,150000000,93.0,en,2004-05-19,919838758,Adventure
Cars,120000000,117.0,en,2006-06-08,461983149,Animation
Runaway Bride,70000000,116.0,en,1999-07-30,309457509,Comedy
xXx,70000000,124.0,en,2002-08-09,277448382,Action
The SpongeBob Movie: Sponge Out of Water,74000000,93.0,en,2015-02-05,311594032,Animation
Ransom,80000000,117.0,en,1996-11-08,309492681,Action
Inglourious Basterds,70000000,153.0,en,2009-08-18,319131050,Drama
Hook,70000000,144.0,en,1991-12-11,300854823,Adventure
Die Hard 2,70000000,124.0,en,1990-07-02,240031094,Action
S.W.A.T.,80000000,117.0,en,2003-08-08,116643346,Action
Vanilla Sky,68000000,136.0,en,2001-12-10,203388341,Drama
Lady in the Water,75000000,110.0,en,2006-07-21,42285169,Drama
AVP: Alien vs. Predator,70000000,101.0,en,2004-08-12,171183863,Adventure
Alvin and the Chipmunks: The Squeakquel,75000000,88.0,en,2009-12-21,443140005,Comedy
We Were Soldiers,75000000,138.0,en,2002-03-01,114660784,Action
Olympus Has Fallen,70000000,120.0,en,2013-03-20,161025640,Action
Star Trek: Insurrection,70000000,103.0,en,1998-12-10,118000000,Science Fiction
Battle: Los Angeles,70000000,116.0,en,2011-03-08,202466756,Action
Big Fish,70000000,125.0,en,2003-12-25,122919055,Adventure
Wolf,0,125.0,en,1994-06-17,0,Fantasy
War Horse,66000000,146.0,en,2011-12-25,177584879,Drama
The Monuments Men,70000000,118.0,en,2014-01-24,154984035,
The Abyss,70000000,139.0,en,1989-08-09,90000098,Adventure
Wall Street: Money Never Sleeps,70000000,133.0,en,2010-09-02,134748021,Drama
Dracula Untold,70000000,92.0,en,2014-10-01,215529201,Horror
The Siege,70000000,116.0,en,1998-11-06,116672912,Drama
Stardust,70000000,127.0,en,2007-08-09,135560026,Adventure
Seven Years in Tibet,70000000,136.0,en,1997-09-12,131457682,Adventure
The Dilemma,70000000,111.0,en,2011-01-13,67112664,Comedy
Bad Company,70000000,116.0,en,2002-06-07,65977295,Action
Doom,60000000,105.0,en,2005-10-20,55987321,Adventure
I Spy,70000000,97.0,en,2002-10-31,33561137,Action
Underworld: Awakening,70000000,88.0,en,2012-01-19,160112671,Fantasy
Rock of Ages,75000000,123.0,en,2012-06-13,59418613,Comedy
Hart's War,70000000,125.0,en,2002-02-15,32287044,Drama
Killer Elite,66000000,116.0,en,2011-09-23,57777106,Action
Rollerball,0,98.0,en,2002-02-08,0,Action
Ballistic: Ecks vs. Sever,70000000,91.0,en,2002-09-20,19924033,Action
Hard Rain,70000000,97.0,en,1998-01-16,19870567,Thriller
Osmosis Jones,75000000,95.0,en,2001-08-07,13596911,Adventure
Legends of Oz: Dorothy's Return,70000000,88.0,en,2013-06-13,18662027,Animation
Blackhat,70000000,133.0,en,2015-01-13,17752940,Crime
Sky Captain and the World of Tomorrow,70000000,107.0,en,2004-09-17,57958696,
Basic Instinct 2,70000000,114.0,en,2006-03-29,38629478,Crime
Escape Plan,50000000,115.0,en,2013-10-09,122915111,Action
The Legend of Hercules,70000000,99.0,en,2014-01-10,61279452,Action
The Sum of All Fears,68000000,124.0,en,2002-05-31,193000000,Thriller
The Twilight Saga: Eclipse,68000000,124.0,en,2010-06-23,698491347,Adventure
The Score,68000000,124.0,en,2001-07-13,71069884,Action
Despicable Me,69000000,95.0,en,2010-07-08,543513985,Animation
Money Train,60000000,103.0,en,1995-11-21,35431113,Action
Ted 2,68000000,115.0,en,2015-06-25,217022588,Comedy
Agora,70000000,127.0,en,2009-05-17,39041505,Adventure
Mystery Men,68000000,121.0,en,1999-08-06,29762011,Adventure
Hall Pass,36000000,105.0,en,2011-02-25,83160734,Comedy
The Insider,90000000,157.0,en,1999-10-28,60289912,Drama
The Finest Hours,80000000,114.0,en,2016-01-25,52099090,Action
Body of Lies,70000000,128.0,en,2008-10-10,113280098,Action
Dinner for Schmucks,69000000,114.0,en,2010-07-30,86387857,Comedy
Abraham Lincoln: Vampire Hunter,69000000,94.0,en,2012-06-20,112265139,Action
Entrapment,66000000,112.0,en,1999-04-29,212404396,Romance
The X Files,66000000,121.0,en,1998-06-19,189198313,
The Last Legion,67000000,102.0,en,2007-04-19,25303038,Action
Saving Private Ryan,70000000,169.0,en,1998-07-24,481840909,Drama
Need for Speed,66000000,130.0,en,2014-03-13,203277636,Action
What Women Want,70000000,127.0,en,2000-12-15,374111707,Comedy
Ice Age,59000000,81.0,en,2002-03-10,383257136,Animation
Dreamcatcher,68000000,136.0,en,2003-03-21,75715436,Drama
Lincoln,65000000,149.0,en,2012-11-09,275293450,
The Matrix,63000000,136.0,en,1999-03-30,463517383,Action
Apollo 13,52000000,140.0,en,1995-06-30,355237933,Drama
The Santa Clause 2,65000000,104.0,en,2002-10-31,172855065,Fantasy
Les Misérables,61000000,157.0,en,2012-12-18,441809770,Drama
You've Got Mail,65000000,119.0,en,1998-12-17,250821495,Comedy
Step Brothers,65000000,98.0,en,2008-07-25,128107642,Comedy
The Mask of Zorro,95000000,136.0,en,1998-07-16,250288523,Action
Due Date,65000000,95.0,en,2010-11-04,211780824,Comedy
Unbroken,65000000,137.0,en,2014-12-25,163442937,Drama
Space Cowboys,65000000,130.0,en,2000-07-31,128884132,Action
Cliffhanger,70000000,112.0,en,1993-05-28,255000211,Action
Broken Arrow,50000000,108.0,en,1996-02-09,150270147,Action
The Kid,65000000,104.0,en,2000-07-07,69700000,Fantasy
World Trade Center,63000000,128.0,en,2006-08-09,162945894,Drama
Mona Lisa Smile,65000000,117.0,en,2003-12-19,0,Drama
The Dictator,65000000,83.0,en,2012-05-15,179379533,Comedy
Eyes Wide Shut,65000000,159.0,en,1999-07-14,162091208,
Annie,65000000,119.0,en,2014-12-19,133821816,Comedy
Focus,50100000,105.0,en,2015-02-25,153962963,Romance
This Means War,65000000,103.0,en,2012-02-14,156974557,Action
Blade: Trinity,65000000,123.0,en,2004-12-08,128905366,Science Fiction
Red Dawn,4200000,114.0,en,1984-08-10,38376497,Action
Primary Colors,65000000,143.0,en,1998-03-20,0,Comedy
Resident Evil: Retribution,65000000,95.0,en,2012-09-12,240159255,Action
Death Race,45000000,105.0,en,2008-08-22,73762516,Action
The Long Kiss Goodnight,65000000,120.0,en,1996-10-11,89456761,Crime
Proof of Life,65000000,135.0,en,2000-12-08,0,Action
Zathura: A Space Adventure,65000000,101.0,en,2005-11-06,64321501,
Fight Club,63000000,139.0,en,1999-10-15,100853753,Drama
We Are Marshall,65000000,124.0,en,2006-12-12,43545364,Drama
Hudson Hawk,65000000,100.0,en,1991-05-23,17218080,Action
Lucky Numbers,65000000,105.0,en,2000-10-27,0,Action
"I, Frankenstein",65000000,92.0,en,2014-01-22,71154592,Horror
Oliver Twist,50000000,130.0,en,2005-09-23,42093706,Crime
Elektra,43000000,97.0,en,2005-01-13,56681566,Action
Sin City: A Dame to Kill For,65000000,102.0,en,2014-08-20,39407616,Crime
Random Hearts,64000000,133.0,en,1999-10-08,74608570,Drama
Everest,55000000,121.0,en,2015-09-10,203427584,Adventure
Perfume: The Story of a Murderer,50000000,147.0,en,2006-09-13,132180323,Crime
Austin Powers in Goldmember,63000000,94.0,en,2002-07-26,296655431,Comedy
Astro Boy,65000000,94.0,en,2009-10-15,44091067,Animation
Jurassic Park,63000000,127.0,en,1993-06-11,920100000,Adventure
Wyatt Earp,63000000,191.0,en,1994-06-24,25052000,Drama
Clear and Present Danger,62000000,141.0,en,1994-08-03,215887717,Action
Dragon Blade,65000000,127.0,zh,2015-02-19,121545703,Action
Little Man,64000000,98.0,en,2006-08-31,101595121,Comedy
U-571,62000000,116.0,en,2000-04-20,127666415,Action
The American President,62000000,106.0,en,1995-11-17,107879496,Comedy
The Love Guru,62000000,87.0,en,2008-06-20,41819064,Comedy
3000 Miles to Graceland,62000000,125.0,en,2001-02-23,18720175,Action
The Hateful Eight,44000000,167.0,en,2015-12-25,155760117,Crime
Blades of Glory,53000000,93.0,en,2007-03-30,0,Action
Hop,63000000,95.0,en,2011-03-30,183953723,Animation
300,65000000,117.0,en,2006-12-09,422610419,Action
Meet the Fockers,80000000,115.0,en,2004-12-22,516642939,Comedy
Marley & Me,60000000,115.0,en,2008-12-25,244082376,Comedy
The Green Mile,60000000,189.0,en,1999-12-10,284600000,Fantasy
Wild Hogs,0,100.0,en,2007-03-02,253625427,Action
Chicken Little,150000000,81.0,en,2005-11-04,314432665,Animation
Gone Girl,61000000,145.0,en,2014-10-01,369330363,
The Bourne Identity,60000000,119.0,en,2002-06-14,214034224,Action
GoldenEye,58000000,130.0,en,1995-11-16,352194034,Adventure
The General's Daughter,60000000,116.0,en,1999-06-18,149705852,Crime
The Truman Show,60000000,103.0,en,1998-06-04,264118201,Comedy
The Prince of Egypt,70000000,99.0,en,1998-12-15,218613188,Adventure
Daddy Day Care,60000000,92.0,en,2003-05-03,164433867,Comedy
2 Guns,61000000,109.0,en,2013-08-02,131940411,Action
Cats & Dogs,60000000,87.0,en,2001-07-04,93375151,Comedy
The Italian Job,60000000,110.0,en,2003-05-30,176070171,Action
Two Weeks Notice,60000000,101.0,en,2002-12-19,93354918,Romance
Antz,60000000,83.0,en,1998-10-02,171757863,Adventure
Couples Retreat,70000000,113.0,en,2009-09-19,171844840,Comedy
Days of Thunder,60000000,107.0,en,1990-06-27,157920733,Adventure
Cheaper by the Dozen 2,60000000,94.0,en,2005-12-21,129181830,Comedy
Maze Runner: The Scorch Trials,61000000,132.0,en,2015-09-09,311256926,Action
Eat Pray Love,60000000,133.0,en,2010-08-12,204594016,Drama
The Family Man,60000000,125.0,en,2000-12-12,0,Comedy
RED,58000000,111.0,en,2010-10-13,71664962,Action
Any Given Sunday,55000000,163.0,en,1999-12-16,100230832,Drama
The Horse Whisperer,60000000,170.0,en,1998-05-14,186883563,Drama
Collateral,65000000,120.0,en,2004-08-04,217764291,Drama
The Scorpion King,60000000,92.0,en,2002-04-16,165333180,Action
Ladder 49,60000000,115.0,en,2004-10-01,74541707,Drama
Jack Reacher,60000000,130.0,en,2012-12-20,218340595,Crime
Deep Blue Sea,60000000,105.0,en,1999-07-28,73648228,Action
This Is It,60000000,111.0,en,2009-10-28,0,
Contagion,60000000,106.0,en,2011-09-08,137551594,Drama
Kangaroo Jack,0,89.0,en,2003-01-17,0,Comedy
Coraline,60000000,100.0,en,2009-02-05,124596398,Animation
The Happening,60000000,91.0,en,2008-06-11,163403799,Thriller
Man on Fire,70000000,146.0,en,2004-04-23,130293714,Action
The Shaggy Dog,50000000,98.0,en,2006-03-09,61112916,Comedy
Starsky & Hutch,60000000,101.0,en,2004-03-05,170268750,Comedy
Jingle All the Way,60000000,89.0,en,1996-11-15,129832389,
Hellboy,66000000,122.0,en,2004-04-02,99318987,Fantasy
A Civil Action,70000000,115.0,en,1998-03-05,56702901,Drama
ParaNorman,60000000,90.0,en,2012-08-03,107139399,
The Jackal,60000000,124.0,en,1997-11-14,159330280,Action
Paycheck,60000000,119.0,en,2003-12-25,96269812,Action
Up Close & Personal,60000000,119.0,en,1996-03-01,0,Drama
The Tale of Despereaux,60000000,93.0,en,2008-12-19,50877145,Adventure
The Tuxedo,0,98.0,en,2002-09-27,0,Thriller
Under Siege 2: Dark Territory,60000000,100.0,en,1995-07-13,104324083,Action
Jack Ryan: Shadow Recruit,60000000,105.0,en,2014-01-15,50549107,Action
Joy,60000000,124.0,en,2015-12-24,101134059,Drama
London Has Fallen,60000000,99.0,en,2016-03-02,205754447,Action
Alien: Resurrection,70000000,109.0,en,1997-11-12,162000000,Science Fiction
Shooter,61000000,124.0,en,2007-03-22,95696996,Action
The Boxtrolls,60000000,97.0,en,2014-09-10,108255770,Animation
Practical Magic,75000000,104.0,en,1998-10-16,46683377,Drama
The Lego Movie,60000000,100.0,en,2014-02-06,469160692,Adventure
Miss Congeniality 2: Armed and Fabulous,0,115.0,en,2005-03-11,0,Action
Reign of Fire,60000000,101.0,en,2002-07-12,43061982,Adventure
Gangster Squad,60000000,113.0,en,2013-01-10,105200903,Crime
Year One,60000000,97.0,en,2009-06-18,62357900,Comedy
Invictus,60000000,134.0,en,2009-12-10,122233971,Drama
State of Play,60000000,127.0,en,2009-04-17,87784194,Action
Duplicity,78146652,125.0,en,2009-03-19,60000000,Romance
My Favorite Martian,65000000,94.0,en,1999-02-11,36850101,Comedy
The Sentinel,60000000,108.0,en,2006-04-19,77920346,Action
Planet 51,70000000,91.0,en,2009-11-19,104945765,Science Fiction
Star Trek: Nemesis,60000000,117.0,en,2002-12-13,67312826,Science Fiction
Intolerable Cruelty,60000000,100.0,en,2003-09-02,119940815,Crime
Trouble with the Curve,0,111.0,en,2012-09-21,0,Drama
Edge of Darkness,80000000,117.0,en,2010-01-29,74901339,Crime
The Relic,60000000,110.0,en,1997-01-10,33956608,Horror
Analyze That,60000000,96.0,en,2002-12-06,55003135,Comedy
Righteous Kill,60000000,101.0,en,2008-09-11,73174566,Action
Mercury Rising,60000000,111.0,en,1998-04-03,0,Action
The Soloist,60000000,109.0,en,2009-04-24,31720158,Drama
The Legend of Bagger Vance,80000000,126.0,en,2000-11-02,39459427,Fantasy
Almost Famous,60000000,122.0,en,2000-09-15,47383689,Drama
Garfield: A Tail of Two Kitties,0,78.0,en,2006-06-15,141702264,Animation
xXx: State of the Union,60000000,101.0,en,2005-04-27,71073932,Action
Priest,60000000,87.0,en,2011-05-05,78309131,Action
Sinbad: Legend of the Seven Seas,60000000,86.0,en,2003-07-02,26288320,
Event Horizon,60000000,96.0,en,1997-08-15,26673242,Horror
Dragonfly,60000000,104.0,en,2002-02-22,52322400,Drama
The Black Dahlia,50000000,121.0,en,2006-09-15,49111202,Drama
Flyboys,60000000,140.0,en,2006-09-22,17800000,Action
The Last Castle,72000000,131.0,en,2001-10-19,27642707,Action
Supernova,90000000,91.0,en,2000-01-14,14828081,Horror
Winter's Tale,60000000,118.0,en,2014-02-13,30800231,Drama
The Mortal Instruments: City of Bones,60000000,130.0,en,2013-08-21,90565421,Action
Meet Dave,60000000,90.0,en,2008-07-08,50650079,Comedy
Dark Water,30000000,105.0,en,2005-06-27,25473093,Drama
Edtv,80000000,122.0,en,1999-03-26,0,Comedy
Inkheart,60000000,106.0,en,2008-12-11,57490374,Adventure
The Spirit,60000000,103.0,en,2008-12-25,39031337,Action
Mortdecai,60000000,106.0,en,2015-01-21,30418560,Comedy
In the Name of the King: A Dungeon Siege Tale,60000000,127.0,en,2007-11-29,0,Adventure
Beyond Borders,35000000,127.0,en,2003-10-23,0,Drama
The Monkey King 2,68490000,120.0,zh,2016-01-22,193677158,Action
The Great Raid,80000000,132.0,en,2005-08-12,10166502,Action
Deadpool,58000000,108.0,en,2016-02-09,783112979,Action
Holy Man,60000000,114.0,en,1998-10-08,0,Drama
American Sniper,58800000,133.0,en,2014-12-11,542307423,
Goosebumps,58000000,103.0,en,2015-08-05,158162788,Adventure
Just Like Heaven,58000000,95.0,en,2005-09-16,102854431,Comedy
The Flintstones in Viva Rock Vegas,83000000,90.0,en,2000-04-28,59468275,Science Fiction
Rambo III,63000000,102.0,en,1988-05-24,189015611,Action
Leatherheads,58000000,114.0,en,2008-03-24,41299492,Comedy
The Ridiculous 6,60000000,119.0,en,2015-12-11,0,Comedy
Did You Hear About the Morgans?,58000000,103.0,en,2009-12-17,85280250,Comedy
The Internship,58000000,119.0,en,2013-06-07,44000000,Comedy
Resident Evil: Afterlife,60000000,97.0,en,2010-09-09,300228084,Action
Red Tails,58000000,125.0,en,2012-01-19,50365377,Drama
The Devil's Advocate,57000000,144.0,en,1997-10-17,152944660,Drama
That's My Boy,70000000,116.0,en,2012-06-14,58058367,Comedy
DragonHeart,57000000,103.0,en,1996-05-31,115267375,Fantasy
After the Sunset,60000000,97.0,en,2004-11-12,61347797,Action
Ghost Rider: Spirit of Vengeance,57000000,95.0,en,2011-12-10,149217355,Action
Captain Corelli's Mandolin,57000000,131.0,en,2001-08-17,62112895,Drama
The Pacifier,56000000,95.0,en,2005-03-04,113006880,Action
Walking Tall,56000000,86.0,en,2004-04-02,57223890,Adventure
Forrest Gump,55000000,142.0,en,1994-07-06,677945399,Comedy
Alvin and the Chipmunks,60000000,92.0,en,2007-12-13,361366633,Comedy
Meet the Parents,55000000,108.0,en,2000-10-06,330444045,Comedy
Pocahontas,55000000,81.0,en,1995-06-14,346079773,Adventure
Superman,55000000,143.0,en,1978-12-13,300218018,Action
The Nutty Professor,54000000,95.0,en,1996-06-26,128769345,Fantasy
Hitch,70000000,118.0,en,2005-02-10,368100420,Comedy
George of the Jungle,55000000,92.0,en,1997-07-15,0,Adventure
American Wedding,55000000,103.0,en,2003-08-01,231449203,Comedy
Captain Phillips,55000000,134.0,en,2013-10-10,95000000,Action
Date Night,55000000,97.0,en,2010-04-08,152263880,Comedy
