,title,genre,budget,runtime,year,month,revenue
423,Bruce Almighty,Fantasy,80000000,101.0,2003,5,484572835
424,The Expendables,Thriller,80000000,103.0,2010,8,274470394
425,Mission: Impossible,Adventure,80000000,110.0,1996,5,457696359
426,The Hunger Games,Science Fiction,75000000,142.0,2012,3,691210692
427,The Hangover Part II,Comedy,80000000,102.0,2011,5,254455986
428,Batman Returns,Action,80000000,126.0,1992,6,280000000
429,Over the Hedge,Comedy,80000000,83.0,2006,4,343397247
430,Lilo & Stitch,Animation,80000000,85.0,2002,6,145771527
431,Charlotte's Web,Comedy,85000000,97.0,2006,12,144000000
432,Deep Impact,Action,75000000,120.0,1998,5,140464664
433,RED 2,Action,84000000,116.0,2013,7,0
434,The Longest Yard,Comedy,82000000,113.0,2005,5,190320568
435,Alvin and the Chipmunks: Chipwrecked,Comedy,75000000,87.0,2011,12,342695435
436,Grown Ups 2,Comedy,80000000,100.0,2013,7,246984278
437,Get Smart,Action,80000000,110.0,2008,6,230685453
438,Something's Gotta Give,Drama,80000000,128.0,2003,12,266728738
439,Shutter Island,Drama,80000000,138.0,2010,2,294804195
440,Four Christmases,Comedy,80000000,88.0,2008,11,163733697
441,Robots,Animation,75000000,91.0,2005,3,260696994
442,Face/Off,Action,80000000,138.0,1997,6,245676146
443,Bedtime Stories,Fantasy,80000000,99.0,2008,12,212874442
444,Road to Perdition,Thriller,80000000,117.0,2002,7,181001478
445,Just Go with It,Romance,80000000,117.0,2011,2,214918407
446,Con Air,Action,75000000,115.0,1997,6,224012234
447,Eagle Eye,,80000000,118.0,2008,9,178066569
448,Cold Mountain,Drama,79000000,154.0,2003,12,173013509
449,The Book of Eli,Action,80000000,118.0,2010,1,157107755
450,Flubber,Comedy,80000000,93.0,1997,11,177977226
451,The Haunting,Horror,80000000,113.0,1999,7,91188905
452,Space Jam,Animation,80000000,88.0,1996,11,250200000
453,The Pink Panther,Action,0,93.0,2006,1,0
454,The Day the Earth Stood Still,Drama,80000000,104.0,2008,12,233093859
455,Conspiracy Theory,Action,75000000,135.0,1997,8,136982834
456,Fury,,68000000,135.0,2014,10,211817906
457,Six Days Seven Nights,Action,70000000,98.0,1998,6,164000000
458,Yogi Bear,Comedy,80000000,80.0,2010,12,201584141
459,Spirit: Stallion of the Cimarron,,80000000,83.0,2002,5,122563539
460,Zookeeper,Comedy,80000000,102.0,2011,7,169852759
461,Lost in Space,Adventure,80000000,130.0,1998,4,136159423
462,The Manchurian Candidate,Drama,80000000,129.0,2004,7,96105964
463,Déjà Vu,Romance,0,117.0,1998,4,0
464,Hotel Transylvania 2,Animation,80000000,89.0,2015,9,473226958
465,Fantasia 2000,Animation,80000000,74.0,1999,12,90874570
466,The Time Machine,Science Fiction,80000000,96.0,2002,3,123729176
467,Mighty Joe Young,Action,90000000,114.0,1998,12,0
468,Swordfish,Action,102000000,99.0,2001,6,147080413
469,The Legend of Zorro,Action,75000000,129.0,2005,10,142400065
470,What Dreams May Come,Drama,85000000,113.0,1998,10,71485043
471,Little Nicky,Comedy,85000000,90.0,2000,11,0
472,The Brothers Grimm,Adventure,88000000,118.0,2005,8,105316267
473,Mars Attacks!,Comedy,70000000,106.0,1996,12,101371017
474,Evolution,,0,81.0,2015,9,0
475,The Edge,Action,0,117.0,1997,9,43312294
476,Surrogates,Action,80000000,89.0,2009,9,122444772
477,Thirteen Days,Drama,80000000,145.0,2000,12,34566746
478,Daylight,Action,80000000,115.0,1996,12,159212469
479,Walking With Dinosaurs,Animation,80000000,87.0,2013,12,126546518
480,Battlefield Earth,Action,44000000,118.0,2000,5,21400000
481,Looney Tunes: Back in Action,Animation,80000000,90.0,2003,11,68514844
482,Nine,Drama,80000000,112.0,2009,12,53825515
483,Timeline,Action,80000000,116.0,2003,11,19480739
484,The Postman,Drama,80000000,177.0,1997,12,17626234
485,Babe: Pig in the City,Adventure,90000000,92.0,1998,11,69131860
486,The Last Witch Hunter,Fantasy,90000000,106.0,2015,10,146936910
487,Red Planet,Thriller,80000000,106.0,2000,11,33463969
488,Arthur and the Invisibles,Adventure,86000000,94.0,2006,12,107944236
489,Oceans,,0,84.0,2009,10,19406406
490,A Sound of Thunder,Thriller,80000000,110.0,2005,5,5989640
491,Pompeii,Action,130000000,105.0,2014,2,117831631
492,Top Cat Begins,Comedy,8000000,89.0,2015,10,0
493,A Beautiful Mind,Drama,60000000,135.0,2001,12,313542341
494,The Lion King,,45000000,89.0,1994,6,788241776
495,Journey 2: The Mysterious Island,Adventure,79000000,94.0,2012,1,355692760
496,Cloudy with a Chance of Meatballs 2,Animation,78000000,95.0,2013,9,248384621
497,Red Dragon,Crime,78000000,124.0,2002,9,209196298
498,Hidalgo,,100000000,136.0,2004,3,108103450
499,Jack and Jill,Comedy,79000000,91.0,2011,11,149673788
500,2 Fast 2 Furious,Action,76000000,107.0,2003,6,236350661
501,The Little Prince,Adventure,64000000,92.0,2015,7,97571250
502,The Invasion,Science Fiction,80000000,99.0,2007,8,15071514
503,The Adventures of Rocky & Bullwinkle,Action,76000000,88.0,2000,6,35134820
504,The Secret Life of Pets,Animation,75000000,87.0,2016,6,875958308
505,The League of Extraordinary Gentlemen,Fantasy,78000000,110.0,2003,7,179265204
506,Despicable Me 2,Animation,76000000,98.0,2013,6,970761885
507,Independence Day,Action,75000000,145.0,1996,6,816969268
508,The Lost World: Jurassic Park,Adventure,73000000,129.0,1997,5,229074524
509,Madagascar,,75000000,86.0,2005,5,532680671
510,Children of Men,Drama,76000000,109.0,2006,9,69959751
511,X-Men,Adventure,75000000,104.0,2000,7,296339527
512,Wanted,Action,75000000,110.0,2008,6,258270008
513,The Rock,Action,75000000,136.0,1996,6,335062621
514,Ice Age: The Meltdown,Animation,80000000,91.0,2006,3,660940780
515,50 First Dates,Comedy,75000000,99.0,2004,2,196482882
516,Hairspray,,50000000,117.0,2007,7,90450008
517,Exorcist: The Beginning,Horror,80000000,114.0,2004,8,78000586
518,Inspector Gadget,Action,75000000,78.0,1999,7,0
519,Now You See Me,Thriller,75000000,115.0,2013,5,117698894
520,Grown Ups,Comedy,80000000,102.0,2010,6,271430189
521,The Terminal,Comedy,60000000,128.0,2004,6,219417255
522,Hotel for Dogs,Comedy,35000000,100.0,2009,1,73034460
523,Vertical Limit,Action,75000000,124.0,2000,12,215663859
524,Charlie Wilson's War,Comedy,75000000,102.0,2007,12,119000410
525,Shark Tale,Animation,75000000,90.0,2004,9,367275019
526,Dreamgirls,Drama,70000000,134.0,2006,12,154937680
527,Be Cool,Comedy,53000000,118.0,2005,3,95226116
528,Munich,Drama,70000000,164.0,2005,12,130358911
529,Tears of the Sun,Action,70000000,121.0,2003,3,85632458
530,Killers,Action,75000000,100.0,2010,6,98159963
531,The Man from U.N.C.L.E.,Comedy,75000000,116.0,2015,8,108145109
532,Spanglish,Comedy,80000000,130.0,2004,12,55041367
533,Monster House,Animation,75000000,91.0,2006,7,140175006
534,Bandits,Action,75000000,123.0,2001,10,67631903
535,First Knight,Action,55000000,134.0,1995,7,127600435
536,Anna and the King,Drama,75000000,148.0,1999,12,0
537,Immortals,Fantasy,75000000,110.0,2011,11,226904017
538,Hostage,,52000000,113.0,2005,3,77944725
539,Titan A.E.,Animation,75000000,94.0,2000,6,36754634
540,Hollywood Homicide,Action,75000000,116.0,2003,6,51142659
541,Soldier,Action,75000000,99.0,1998,10,14567883
542,Carriers,Action,0,84.0,2009,9,5802422
543,Monkeybone,Adventure,75000000,93.0,2001,2,5409517
544,Flight of the Phoenix,Action,45000000,113.0,2004,12,21009180
545,Unbreakable,Science Fiction,75000000,106.0,2000,11,248118121
546,Minions,,74000000,91.0,2015,6,1156730962
547,Sucker Punch,Action,82000000,110.0,2011,3,89792502
548,Snake Eyes,Crime,73000000,98.0,1998,8,103891409
549,Sphere,Science Fiction,75000000,134.0,1998,2,13100000
550,The Angry Birds Movie,,73000000,97.0,2016,5,349779543
551,Fool's Gold,Romance,70000000,112.0,2008,2,111231041
552,Funny People,Comedy,75000000,146.0,2009,7,61458982
553,The Kingdom,Thriller,70000000,110.0,2007,8,86658558
554,Talladega Nights: The Ballad of Ricky Bobby,Comedy,72500000,116.0,2006,8,162966177
555,Dr. Dolittle 2,Comedy,70000000,87.0,2001,6,176104344
556,Braveheart,Action,72000000,177.0,1995,5,210000000
557,Jarhead,Drama,72000000,125.0,2005,11,96889998
558,The Simpsons Movie,Animation,75000000,87.0,2007,7,527068851
559,The Majestic,Drama,72000000,152.0,2001,12,37317558
560,Driven,Action,94000000,116.0,2001,4,54744738
561,Two Brothers,Adventure,74500000,109.0,2004,4,62172050
562,The Village,Drama,60000000,108.0,2004,7,256697520
563,Doctor Dolittle,Comedy,71000000,85.0,1998,6,294456605
564,Signs,Drama,72000000,106.0,2002,8,408247917
565,Shrek 2,Adventure,150000000,93.0,2004,5,919838758
566,Cars,Animation,120000000,117.0,2006,6,461983149
567,Runaway Bride,Comedy,70000000,116.0,1999,7,309457509
568,xXx,Action,70000000,124.0,2002,8,277448382
569,The SpongeBob Movie: Sponge Out of Water,Animation,74000000,93.0,2015,2,311594032
570,Ransom,Action,80000000,117.0,1996,11,309492681
571,Inglourious Basterds,Drama,70000000,153.0,2009,8,319131050
572,Hook,Adventure,70000000,144.0,1991,12,300854823
573,Die Hard 2,Action,70000000,124.0,1990,7,240031094
574,S.W.A.T.,Action,80000000,117.0,2003,8,116643346
575,Vanilla Sky,Drama,68000000,136.0,2001,12,203388341
576,Lady in the Water,Drama,75000000,110.0,2006,7,42285169
577,AVP: Alien vs. Predator,Adventure,70000000,101.0,2004,8,171183863
578,Alvin and the Chipmunks: The Squeakquel,Comedy,75000000,88.0,2009,12,443140005
579,We Were Soldiers,Action,75000000,138.0,2002,3,114660784
580,Olympus Has Fallen,Action,70000000,120.0,2013,3,161025640
581,Star Trek: Insurrection,Science Fiction,70000000,103.0,1998,12,118000000
582,Battle: Los Angeles,Action,70000000,116.0,2011,3,202466756
583,Big Fish,Adventure,70000000,125.0,2003,12,122919055
584,Wolf,Fantasy,0,125.0,1994,6,0
585,War Horse,Drama,66000000,146.0,2011,12,177584879
586,The Monuments Men,,70000000,118.0,2014,1,154984035
587,The Abyss,Adventure,70000000,139.0,1989,8,90000098
588,Wall Street: Money Never Sleeps,Drama,70000000,133.0,2010,9,134748021
589,Dracula Untold,Horror,70000000,92.0,2014,10,215529201
590,The Siege,Drama,70000000,116.0,1998,11,116672912
591,Stardust,Adventure,70000000,127.0,2007,8,135560026
592,Seven Years in Tibet,Adventure,70000000,136.0,1997,9,131457682
593,The Dilemma,Comedy,70000000,111.0,2011,1,67112664
594,Bad Company,Action,70000000,116.0,2002,6,65977295
595,Doom,Adventure,60000000,105.0,2005,10,55987321
596,I Spy,Action,70000000,97.0,2002,10,33561137
597,Underworld: Awakening,Fantasy,70000000,88.0,2012,1,160112671
598,Rock of Ages,Comedy,75000000,123.0,2012,6,59418613
599,Hart's War,Drama,70000000,125.0,2002,2,32287044
600,Killer Elite,Action,66000000,116.0,2011,9,57777106
601,Rollerball,Action,0,98.0,2002,2,0
602,Ballistic: Ecks vs. Sever,Action,70000000,91.0,2002,9,19924033
603,Hard Rain,Thriller,70000000,97.0,1998,1,19870567
604,Osmosis Jones,Adventure,75000000,95.0,2001,8,13596911
605,Legends of Oz: Dorothy's Return,Animation,70000000,88.0,2013,6,18662027
606,Blackhat,Crime,70000000,133.0,2015,1,17752940
607,Sky Captain and the World of Tomorrow,,70000000,107.0,2004,9,57958696
608,Basic Instinct 2,Crime,70000000,114.0,2006,3,38629478
609,Escape Plan,Action,50000000,115.0,2013,10,122915111
610,The Legend of Hercules,Action,70000000,99.0,2014,1,61279452
611,The Sum of All Fears,Thriller,68000000,124.0,2002,5,193000000
612,The Twilight Saga: Eclipse,Adventure,68000000,124.0,2010,6,698491347
613,The Score,Action,68000000,124.0,2001,7,71069884
614,Despicable Me,Animation,69000000,95.0,2010,7,543513985
615,Money Train,Action,60000000,103.0,1995,11,35431113
616,Ted 2,Comedy,68000000,115.0,2015,6,217022588
617,Agora,Adventure,70000000,127.0,2009,5,39041505
618,Mystery Men,Adventure,68000000,121.0,1999,8,29762011
619,Hall Pass,Comedy,36000000,105.0,2011,2,83160734
620,The Insider,Drama,90000000,157.0,1999,10,60289912
621,The Finest Hours,Action,80000000,114.0,2016,1,52099090
622,Body of Lies,Action,70000000,128.0,2008,10,113280098
623,Dinner for Schmucks,Comedy,69000000,114.0,2010,7,86387857
624,Abraham Lincoln: Vampire Hunter,Action,69000000,94.0,2012,6,112265139
625,Entrapment,Romance,66000000,112.0,1999,4,212404396
626,The X Files,,66000000,121.0,1998,6,189198313
627,The Last Legion,Action,67000000,102.0,2007,4,25303038
628,Saving Private Ryan,Drama,70000000,169.0,1998,7,481840909
629,Need for Speed,Action,66000000,130.0,2014,3,203277636
630,What Women Want,Comedy,70000000,127.0,2000,12,374111707
631,Ice Age,Animation,59000000,81.0,2002,3,383257136
632,Dreamcatcher,Drama,68000000,136.0,2003,3,75715436
633,Lincoln,,65000000,149.0,2012,11,275293450
634,The Matrix,Action,63000000,136.0,1999,3,463517383
635,Apollo 13,Drama,52000000,140.0,1995,6,355237933
636,The Santa Clause 2,Fantasy,65000000,104.0,2002,10,172855065
637,Les Misérables,Drama,61000000,157.0,2012,12,441809770
638,You've Got Mail,Comedy,65000000,119.0,1998,12,250821495
639,Step Brothers,Comedy,65000000,98.0,2008,7,128107642
640,The Mask of Zorro,Action,95000000,136.0,1998,7,250288523
641,Due Date,Comedy,65000000,95.0,2010,11,211780824
642,Unbroken,Drama,65000000,137.0,2014,12,163442937
643,Space Cowboys,Action,65000000,130.0,2000,7,128884132
644,Cliffhanger,Action,70000000,112.0,1993,5,255000211
645,Broken Arrow,Action,50000000,108.0,1996,2,150270147
646,The Kid,Fantasy,65000000,104.0,2000,7,69700000
647,World Trade Center,Drama,63000000,128.0,2006,8,162945894
648,Mona Lisa Smile,Drama,65000000,117.0,2003,12,0
649,The Dictator,Comedy,65000000,83.0,2012,5,179379533
650,Eyes Wide Shut,,65000000,159.0,1999,7,162091208
651,Annie,Comedy,65000000,119.0,2014,12,133821816
652,Focus,Romance,50100000,105.0,2015,2,153962963
653,This Means War,Action,65000000,103.0,2012,2,156974557
654,Blade: Trinity,Science Fiction,65000000,123.0,2004,12,128905366
655,Red Dawn,Action,4200000,114.0,1984,8,38376497
656,Primary Colors,Comedy,65000000,143.0,1998,3,0
657,Resident Evil: Retribution,Action,65000000,95.0,2012,9,240159255
658,Death Race,Action,45000000,105.0,2008,8,73762516
659,The Long Kiss Goodnight,Crime,65000000,120.0,1996,10,89456761
660,Proof of Life,Action,65000000,135.0,2000,12,0
661,Zathura: A Space Adventure,,65000000,101.0,2005,11,64321501
662,Fight Club,Drama,63000000,139.0,1999,10,100853753
663,We Are Marshall,Drama,65000000,124.0,2006,12,43545364
664,Hudson Hawk,Action,65000000,100.0,1991,5,17218080
665,Lucky Numbers,Action,65000000,105.0,2000,10,0
666,"I, Frankenstein",Horror,65000000,92.0,2014,1,71154592
667,Oliver Twist,Crime,50000000,130.0,2005,9,42093706
668,Elektra,Action,43000000,97.0,2005,1,56681566
669,Sin City: A Dame to Kill For,Crime,65000000,102.0,2014,8,39407616
670,Random Hearts,Drama,64000000,133.0,1999,10,74608570
671,Everest,Adventure,55000000,121.0,2015,9,203427584
672,Perfume: The Story of a Murderer,Crime,50000000,147.0,2006,9,132180323
673,Austin Powers in Goldmember,Comedy,63000000,94.0,2002,7,296655431
674,Astro Boy,Animation,65000000,94.0,2009,10,44091067
675,Jurassic Park,Adventure,63000000,127.0,1993,6,920100000
676,Wyatt Earp,Drama,63000000,191.0,1994,6,25052000
677,Clear and Present Danger,Action,62000000,141.0,1994,8,215887717
678,Dragon Blade,Action,65000000,127.0,2015,2,121545703
679,Little Man,Comedy,64000000,98.0,2006,8,101595121
680,U-571,Action,62000000,116.0,2000,4,127666415
681,The American President,Comedy,62000000,106.0,1995,11,107879496
682,The Love Guru,Comedy,62000000,87.0,2008,6,41819064
683,3000 Miles to Graceland,Action,62000000,125.0,2001,2,18720175
684,The Hateful Eight,Crime,44000000,167.0,2015,12,155760117
685,Blades of Glory,Action,53000000,93.0,2007,3,0
686,Hop,Animation,63000000,95.0,2011,3,183953723
687,300,Action,65000000,117.0,2006,12,422610419
688,Meet the Fockers,Comedy,80000000,115.0,2004,12,516642939
689,Marley & Me,Comedy,60000000,115.0,2008,12,244082376
690,The Green Mile,Fantasy,60000000,189.0,1999,12,284600000
691,Wild Hogs,Action,0,100.0,2007,3,253625427
692,Chicken Little,Animation,150000000,81.0,2005,11,314432665
693,Gone Girl,,61000000,145.0,2014,10,369330363
694,The Bourne Identity,Action,60000000,119.0,2002,6,214034224
695,GoldenEye,Adventure,58000000,130.0,1995,11,352194034
696,The General's Daughter,Crime,60000000,116.0,1999,6,149705852
697,The Truman Show,Comedy,60000000,103.0,1998,6,264118201
698,The Prince of Egypt,Adventure,70000000,99.0,1998,12,218613188
699,Daddy Day Care,Comedy,60000000,92.0,2003,5,164433867
700,2 Guns,Action,61000000,109.0,2013,8,131940411
701,Cats & Dogs,Comedy,60000000,87.0,2001,7,93375151
702,The Italian Job,Action,60000000,110.0,2003,5,176070171
703,Two Weeks Notice,Romance,60000000,101.0,2002,12,93354918
704,Antz,Adventure,60000000,83.0,1998,10,171757863
705,Couples Retreat,Comedy,70000000,113.0,2009,9,171844840
706,Days of Thunder,Adventure,60000000,107.0,1990,6,157920733
707,Cheaper by the Dozen 2,Comedy,60000000,94.0,2005,12,129181830
708,Maze Runner: The Scorch Trials,Action,61000000,132.0,2015,9,311256926
709,Eat Pray Love,Drama,60000000,133.0,2010,8,204594016
710,The Family Man,Comedy,60000000,125.0,2000,12,0
711,RED,Action,58000000,111.0,2010,10,71664962
712,Any Given Sunday,Drama,55000000,163.0,1999,12,100230832
713,The Horse Whisperer,Drama,60000000,170.0,1998,5,186883563
714,Collateral,Drama,65000000,120.0,2004,8,217764291
715,The Scorpion King,Action,60000000,92.0,2002,4,165333180
716,Ladder 49,Drama,60000000,115.0,2004,10,74541707
717,Jack Reacher,Crime,60000000,130.0,2012,12,218340595
718,Deep Blue Sea,Action,60000000,105.0,1999,7,73648228
719,This Is It,,60000000,111.0,2009,10,0
720,Contagion,Drama,60000000,106.0,2011,9,137551594
721,Kangaroo Jack,Comedy,0,89.0,2003,1,0
722,Coraline,Animation,60000000,100.0,2009,2,124596398
723,The Happening,Thriller,60000000,91.0,2008,6,163403799
724,Man on Fire,Action,70000000,146.0,2004,4,130293714
725,The Shaggy Dog,Comedy,50000000,98.0,2006,3,61112916
726,Starsky & Hutch,Comedy,60000000,101.0,2004,3,170268750
727,Jingle All the Way,,60000000,89.0,1996,11,129832389
728,Hellboy,Fantasy,66000000,122.0,2004,4,99318987
729,A Civil Action,Drama,70000000,115.0,1998,3,56702901
730,ParaNorman,,60000000,90.0,2012,8,107139399
731,The Jackal,Action,60000000,124.0,1997,11,159330280
732,Paycheck,Action,60000000,119.0,2003,12,96269812
733,Up Close & Personal,Drama,60000000,119.0,1996,3,0
734,The Tale of Despereaux,Adventure,60000000,93.0,2008,12,50877145
735,The Tuxedo,Thriller,0,98.0,2002,9,0
736,Under Siege 2: Dark Territory,Action,60000000,100.0,1995,7,104324083
737,Jack Ryan: Shadow Recruit,Action,60000000,105.0,2014,1,50549107
738,Joy,Drama,60000000,124.0,2015,12,101134059
739,London Has Fallen,Action,60000000,99.0,2016,3,205754447
740,Alien: Resurrection,Science Fiction,70000000,109.0,1997,11,162000000
741,Shooter,Action,61000000,124.0,2007,3,95696996
742,The Boxtrolls,Animation,60000000,97.0,2014,9,108255770
743,Practical Magic,Drama,75000000,104.0,1998,10,46683377
744,The Lego Movie,Adventure,60000000,100.0,2014,2,469160692
745,Miss Congeniality 2: Armed and Fabulous,Action,0,115.0,2005,3,0
746,Reign of Fire,Adventure,60000000,101.0,2002,7,43061982
747,Gangster Squad,Crime,60000000,113.0,2013,1,105200903
748,Year One,Comedy,60000000,97.0,2009,6,62357900
749,Invictus,Drama,60000000,134.0,2009,12,122233971
750,State of Play,Action,60000000,127.0,2009,4,87784194
751,Duplicity,Romance,78146652,125.0,2009,3,60000000
752,My Favorite Martian,Comedy,65000000,94.0,1999,2,36850101
753,The Sentinel,Action,60000000,108.0,2006,4,77920346
754,Planet 51,Science Fiction,70000000,91.0,2009,11,104945765
755,Star Trek: Nemesis,Science Fiction,60000000,117.0,2002,12,67312826
756,Intolerable Cruelty,Crime,60000000,100.0,2003,9,119940815
757,Trouble with the Curve,Drama,0,111.0,2012,9,0
758,Edge of Darkness,Crime,80000000,117.0,2010,1,74901339
759,The Relic,Horror,60000000,110.0,1997,1,33956608
760,Analyze That,Comedy,60000000,96.0,2002,12,55003135
761,Righteous Kill,Action,60000000,101.0,2008,9,73174566
762,Mercury Rising,Action,60000000,111.0,1998,4,0
763,The Soloist,Drama,60000000,109.0,2009,4,31720158
764,The Legend of Bagger Vance,Fantasy,80000000,126.0,2000,11,39459427
765,Almost Famous,Drama,60000000,122.0,2000,9,47383689
766,Garfield: A Tail of Two Kitties,Animation,0,78.0,2006,6,141702264
767,xXx: State of the Union,Action,60000000,101.0,2005,4,71073932
768,Priest,Action,60000000,87.0,2011,5,78309131
769,Sinbad: Legend of the Seven Seas,,60000000,86.0,2003,7,26288320
770,Event Horizon,Horror,60000000,96.0,1997,8,26673242
771,Dragonfly,Drama,60000000,104.0,2002,2,52322400
772,The Black Dahlia,Drama,50000000,121.0,2006,9,49111202
773,Flyboys,Action,60000000,140.0,2006,9,17800000
774,The Last Castle,Action,72000000,131.0,2001,10,27642707
775,Supernova,Horror,90000000,91.0,2000,1,14828081
776,Winter's Tale,Drama,60000000,118.0,2014,2,30800231
777,The Mortal Instruments: City of Bones,Action,60000000,130.0,2013,8,90565421
778,Meet Dave,Comedy,60000000,90.0,2008,7,50650079
779,Dark Water,Drama,30000000,105.0,2005,6,25473093
780,Edtv,Comedy,80000000,122.0,1999,3,0
781,Inkheart,Adventure,60000000,106.0,2008,12,57490374
782,The Spirit,Action,60000000,103.0,2008,12,39031337
783,Mortdecai,Comedy,60000000,106.0,2015,1,30418560
784,In the Name of the King: A Dungeon Siege Tale,Adventure,60000000,127.0,2007,11,0
785,Beyond Borders,Drama,35000000,127.0,2003,10,0
786,The Monkey King 2,Action,68490000,120.0,2016,1,193677158
787,The Great Raid,Action,80000000,132.0,2005,8,10166502
788,Deadpool,Action,58000000,108.0,2016,2,783112979
789,Holy Man,Drama,60000000,114.0,1998,10,0
790,American Sniper,,58800000,133.0,2014,12,542307423
791,Goosebumps,Adventure,58000000,103.0,2015,8,158162788
792,Just Like Heaven,Comedy,58000000,95.0,2005,9,102854431
793,The Flintstones in Viva Rock Vegas,Science Fiction,83000000,90.0,2000,4,59468275
794,Rambo III,Action,63000000,102.0,1988,5,189015611
795,Leatherheads,Comedy,58000000,114.0,2008,3,41299492
796,The Ridiculous 6,Comedy,60000000,119.0,2015,12,0
797,Did You Hear About the Morgans?,Comedy,58000000,103.0,2009,12,85280250
798,The Internship,Comedy,58000000,119.0,2013,6,44000000
799,Resident Evil: Afterlife,Action,60000000,97.0,2010,9,300228084
800,Red Tails,Drama,58000000,125.0,2012,1,50365377
801,The Devil's Advocate,Drama,57000000,144.0,1997,10,152944660
802,That's My Boy,Comedy,70000000,116.0,2012,6,58058367
803,DragonHeart,Fantasy,57000000,103.0,1996,5,115267375
804,After the Sunset,Action,60000000,97.0,2004,11,61347797
805,Ghost Rider: Spirit of Vengeance,Action,57000000,95.0,2011,12,149217355
806,Captain Corelli's Mandolin,Drama,57000000,131.0,2001,8,62112895
807,The Pacifier,Action,56000000,95.0,2005,3,113006880
808,Walking Tall,Adventure,56000000,86.0,2004,4,57223890
809,Forrest Gump,Comedy,55000000,142.0,1994,7,677945399
810,Alvin and the Chipmunks,Comedy,60000000,92.0,2007,12,361366633
811,Meet the Parents,Comedy,55000000,108.0,2000,10,330444045
812,Pocahontas,Adventure,55000000,81.0,1995,6,346079773
813,Superman,Action,55000000,143.0,1978,12,300218018
814,The Nutty Professor,Fantasy,54000000,95.0,1996,6,128769345
815,Hitch,Comedy,70000000,118.0,2005,2,368100420
816,George of the Jungle,Adventure,55000000,92.0,1997,7,0
817,American Wedding,Comedy,55000000,103.0,2003,8,231449203
818,Captain Phillips,Action,55000000,134.0,2013,10,95000000
819,Date Night,Comedy,55000000,97.0,2010,4,152263880
820,Casper,Fantasy,50000000,100.0,1995,5,287928194
821,The Equalizer,Thriller,55000000,132.0,2014,9,192330738
822,Maid in Manhattan,Comedy,55000000,105.0,2002,12,154906693
823,Crimson Tide,Action,53000000,116.0,1995,5,157387195
824,The Pursuit of Happyness,Drama,55000000,117.0,2006,12,307077295
825,Flightplan,Thriller,55000000,98.0,2005,9,223387299
826,Disclosure,Drama,55000000,123.0,1994,12,214015089
827,City of Angels,Drama,55000000,114.0,1998,4,198685114
828,Kill Bill: Vol. 1,Action,30000000,111.0,2003,10,180949000
829,Bowfinger,Comedy,55000000,97.0,1999,8,0
830,Kill Bill: Vol. 2,Action,30000000,136.0,2004,4,152159461
831,Tango & Cash,Action,55000000,104.0,1989,12,63408614
832,Death Becomes Her,Fantasy,55000000,104.0,1992,7,149022650
833,Shanghai Noon,Adventure,55000000,110.0,2000,5,56932305
834,Executive Decision,Action,55000000,133.0,1996,3,121969216
835,Mr. Popper's Penguins,Comedy,55000000,94.0,2011,6,187361754
836,The Forbidden Kingdom,Action,55000000,104.0,2008,4,127906624
837,Free Birds,Animation,55000000,91.0,2013,10,110000000
838,Alien³,Science Fiction,50000000,114.0,1992,5,159773545
839,Evita,,55000000,134.0,1996,12,141047179
840,Ronin,Action,55000000,122.0,1998,9,41610884
841,The Ghost and the Darkness,Adventure,50000000,109.0,1996,10,75000000
842,Paddington,,55000000,95.0,2014,11,259207227
843,The Watch,Comedy,68000000,98.0,2012,7,68267862
844,The Hunted,Drama,55000000,94.0,2003,3,34234008
845,Instinct,Drama,80000000,126.0,1999,6,0
846,Stuck on You,Comedy,55000000,118.0,2003,12,33828318
847,Semi-Pro,Comedy,0,91.0,2008,2,33472850
848,The Pirates! In an Adventure with Scientists!,Animation,60000000,88.0,2012,3,118338361
849,Changeling,Crime,55000000,141.0,2008,1,113020255
850,Chain Reaction,Action,50000000,107.0,1996,8,60209334
851,The Fan,Drama,55000000,116.0,1996,8,18626419
852,The Phantom of the Opera,Thriller,70000000,143.0,2004,12,154648887
853,Elizabeth: The Golden Age,Drama,55000000,114.0,2007,9,74237563
854,Æon Flux,Action,62000000,93.0,2005,11,52304001
855,Gods and Generals,Drama,56000000,214.0,2003,2,12923936
856,Turbulence,Action,55000000,100.0,1997,1,11466088
857,Imagine That,Comedy,55000000,107.0,2009,6,0
858,Muppets Most Wanted,Comedy,50000000,112.0,2014,3,80383290
859,Thunderbirds,Action,57000000,95.0,2004,7,28283637
860,Burlesque,Drama,55000000,119.0,2010,11,89519773
861,A Very Long Engagement,Drama,47000000,133.0,2004,10,0
862,Lolita,Drama,2000000,153.0,1962,6,9250000
863,D-Tox,Action,55000000,96.0,2002,1,6416302
864,Blade II,Fantasy,54000000,117.0,2002,3,155010032
865,Seven Pounds,Drama,55000000,123.0,2008,12,168167691
866,Bullet to the Head,Action,55000000,92.0,2013,1,9489829
867,The Godfather: Part III,Crime,54000000,162.0,1990,12,136766062
868,Elizabethtown,Comedy,57000000,123.0,2005,10,52034889
869,"You, Me and Dupree",Comedy,54000000,108.0,2006,7,130431368
870,Superman II,Action,54000000,127.0,1980,12,190458706
871,Gigli,Drama,54000000,121.0,2003,8,7266209
872,All the King's Men,Drama,55000000,125.0,2006,9,9450897
873,Shaft,Action,46000000,99.0,2000,6,107196498
